SitID	UWI (AGS)	UWI
164144	0774140203000	00/03-02-077-14W4/0
110403	0774140707000	00/07-07-077-14W4/0
110405	0774141607000	00/07-16-077-14W4/0
110409	0774142807000	00/07-28-077-14W4/0
110413	0774151310000	00/10-13-077-15W4/0
110415	0774152207000	00/07-22-077-15W4/0
110416	0774152306000	00/06-23-077-15W4/0
110419	0774152604000	00/04-26-077-15W4/0
110420	0774152710000	00/10-27-077-15W4/0
110427	0774161110000	00/10-11-077-16W4/0
110428	0774161907000	00/07-19-077-16W4/0
110429	0774162406000	00/06-24-077-16W4/0
110430	0774162611000	00/11-26-077-16W4/0
110436	0774173311000	00/11-33-077-17W4/0
110438	0774180510000	00/10-05-077-18W4/0
178389	0774190314000	00/14-03-077-19W4/0
110444	0774191210000	00/10-12-077-19W4/0
110445	0774191907000	00/07-19-077-19W4/0
110446	0774202810000	00/10-28-077-20W4/0
110447	0774210311000	00/11-03-077-21W4/0
110448	0774210710000	00/10-07-077-21W4/0
110451	0774220306000	00/06-03-077-22W4/0
110453	0774222106000	00/06-21-077-22W4/0
110456	0774223207000	00/07-32-077-22W4/0
110458	0774223411000	00/11-34-077-22W4/0
110460	0774230607000	00/07-06-077-23W4/0
110462	0774232310000	00/10-23-077-23W4/0
110463	0774232711000	00/11-27-077-23W4/0
110464	0774240111000	00/11-01-077-24W4/0
110467	0774242507000	00/07-25-077-24W4/0
110468	0774242910000	00/10-29-077-24W4/0
110469	0774243410000	00/10-34-077-24W4/0
110472	0774251706000	00/06-17-077-25W4/0
110475	0774252306AA0	AA/06-23-077-25W4/0
110477	0774253011000	00/11-30-077-25W4/0
110478	0774253411000	00/11-34-077-25W4/0
110479	0774260206000	00/06-02-077-26W4/0
110481	0774262207000	00/07-22-077-26W4/0
110485	0774263411000	00/11-34-077-26W4/0
110486	0775011107000	00/07-11-077-01W5/0
110487	0775011811000	00/11-18-077-01W5/0
110488	0775012406000	00/06-24-077-01W5/0
110489	0775013511000	00/11-35-077-01W5/0
153803	0775020908000	00/08-09-077-02W5/0
110491	0775021611000	00/11-16-077-02W5/0
164148	0775022906000	00/06-29-077-02W5/0
110497	0775023606000	00/06-36-077-02W5/0
110498	0775030107000	00/07-01-077-03W5/0
110499	0775031506000	00/06-15-077-03W5/0
110503	0775033110000	00/10-31-077-03W5/0
110505	0775040407000	00/07-04-077-04W5/0
110507	0775040907000	00/07-09-077-04W5/0
110508	0775041207000	00/07-12-077-04W5/0
110511	0775041607000	00/07-16-077-04W5/0
110513	0775053211000	00/11-32-077-05W5/0
110981	0784022801000	00/01-28-078-02W4/0
110982	0784031708000	00/08-17-078-03W4/0
142696	0784031907000	00/07-19-078-03W4/0
170722	0784032907000	00/07-29-078-03W4/0
110983	0784033207000	00/07-32-078-03W4/0
142697	0784040715000	00/15-07-078-04W4/0
142699	0784041505000	00/05-15-078-04W4/0
142701	0784041906000	00/06-19-078-04W4/0
142704	0784042206000	00/06-22-078-04W4/0
142706	0784050405000	00/05-04-078-05W4/0
110986	0784052105000	00/05-21-078-05W4/0
110987	0784053006000	00/06-30-078-05W4/0
110989	0784053403000	00/03-34-078-05W4/0
110992	0784060511000	00/11-05-078-06W4/0
110993	0784061411000	00/11-14-078-06W4/0
110997	0784063011000	00/11-30-078-06W4/0
